,브랜드명,중분류업종,창업비용(단위:천원),본사업력(년),본사부채비율(%),수익성,공정성,성장성,안정성
1505,편대장영화식당,기타 외식,435000,14,-673,3,3,4,1
1506,여장군,한식,51532,4,-834,2,3,4,1
1507,하바나익스프레스,커피,78900,9,52,2,3,1,2
1508,고베규카츠,기타 외식,195460,8,394,1,3,1,5
1509,모던통닭,치킨,77680,16,33,4,3,4,2
1510,치떠끼,분식,31350,8,152,3,3,4,4
1511,토고리불꽃막창,한식,52250,11,620,3,3,2,5
1512,전광수커피,커피,174500,5,228,4,3,4,4
1513,더바스켓,기타 외식,43081,9,139,2,3,2,3
1514,금방진,치킨,37500,13,53,3,3,4,2
1515,에바돈가츠,기타 외식,50721,9,-383,1,3,2,1
1516,장상궁김밥,분식,70100,9,96,2,3,2,3
1517,삼교리동치미막국수,한식,135000,15,118,4,3,3,3
1518,구슬함박,기타 외식,233300,9,-287,1,3,1,1
1519,9,커피,559000,24,229,2,3,3,4
1520,커피101스트릿(COFFEE,커피,107500,5,164,4,3,4,4
1521,겐로쿠우동,일식,80900,9,41,3,3,2,2
1522,파파호두,제과제빵,75600,16,-290,5,3,1,1
1523,온기정,일식,156050,7,191,4,3,4,4
1524,iPho,기타 외국식,81125,7,-304,1,3,1,1
1525,어죽이네철렵국,한식,17500,19,44,4,3,3,2
1526,무성구어바베큐치킨,치킨,32150,7,154,3,3,4,4
1527,노마세야매운갈비찜,한식,96700,9,76,3,3,2,3
1528,고기극찬,한식,85280,11,-126,4,3,0,1
1529,경복궁삼계탕,한식,50100,5,60,5,3,3,3
1530,화풍주락종로1번가,주점,84600,15,241,5,3,5,4
1531,숨쉬는,한식,127630,5,342,2,3,4,4
1532,부뚜막치킨,기타 외식,12450,15,-105,3,3,2,1
1533,보리네생고깃간,기타 외식,160650,6,1477,3,3,3,5
1534,조선의한우,기타 외식,109100,17,487,1,2,1,5
1535,청진동해장국,한식,58650,14,13,4,3,2,2
1536,보영만두,분식,89800,8,-744,3,3,3,1
1537,난다곱창,한식,26860,5,-262,1,3,0,1
1538,사골먹은감자탕,한식,57550,5,196,5,3,4,4
1539,슈퍼떡볶킹,분식,41350,4,68,5,3,3,3
1540,어다리,기타 외식,220250,11,13,2,3,0,2
1541,전주24시참편한39콩나물국밥,한식,136700,4,360,4,3,5,5
1542,밤새지기,주점,68550,8,165,2,3,1,4
1543,라이스쉐프,분식,94306,8,-130,1,3,4,1
1544,옛날농장,한식,125516,16,52,2,3,2,3
1545,별빛에취한제주바다,주점,123800,3,734,4,3,0,5
1546,소소한일상의별난주점,주점,43800,8,4400,2,3,3,5
1547,해우리,한식,185000,13,140,4,3,3,4
1548,강다짐,분식,60000,7,91,3,3,3,3
1549,통큰낙지,한식,176000,12,14,5,3,2,2
1550,북앤빅뱅,음료 (커피 외),211000,23,2087,1,3,5,5
1551,솔레미오,기타 외식,102100,18,108,1,3,4,3
1552,커피하우스,커피,55000,12,2,5,3,2,2
1553,김경자소문난대구왕뽈찜,한식,139200,9,98,3,3,3,3
1554,꽃담은소,기타 외식,185854,13,-224,4,3,4,1
1555,방태막국수,한식,108670,11,116,3,3,2,3
1556,중떡,한식,58880,9,332,4,3,5,5
1557,복사꽃피는집,한식,227100,8,127,4,3,2,3
1558,농부치킨,치킨,45900,18,131,3,3,3,3
1559,이바돔,한식,244800,23,-640,1,3,1,1
1560,레시피#9,기타 외식,157500,10,-173,1,3,2,1
1561,쌔떼치킨&꾸버불라,치킨,21500,24,168,4,3,3,4
1562,손찬,한식,162500,3,916,2,3,0,5
1563,씨이십칠(C27),커피,386200,8,14826,2,3,2,5
1564,뽕신,중식,110600,12,101,2,3,1,3
1565,고고(Gogo)함박,서양식,77050,32,212,3,3,3,4
1566,두남자찜닭,한식,155300,9,37,2,3,2,2
1567,남노갈비,한식,128200,12,371,3,3,2,5
1568,히토기라쿠,주점,74628,21,30,3,3,2,2
1569,코코샤브,기타 외식,307000,20,90,2,3,1,3
1570,빛나는바다,기타 외식,144315,9,-163,1,3,2,1
1571,신의주부대찌개,한식,95170,22,96,5,3,5,3
1572,135튀김집,분식,75000,6,3376,1,3,2,5
1573,굽는치킨,치킨,14520,110,15,4,3,4,2
1574,대왕해물문어보쌈,기타 외식,181000,8,-239,1,3,5,1
1575,으니의수라간,분식,53200,10,258,3,3,3,4
1576,압구정곱떡,기타 외식,120780,8,39,5,3,5,2
1577,111치킨,치킨,67650,14,42,3,3,2,2
1578,동산만두,분식,24730,6,-739,3,3,4,1
1579,콩시루,한식,75800,7,69,5,3,3,3
1580,마음을,한식,43000,5,42,4,3,5,2
1581,소소한일상의별난주점,주점,43800,8,4400,2,3,3,5
1582,우리동네국수집,분식,56350,7,307,2,3,2,4
1583,다가올레,치킨,24365,12,93,3,3,1,3
1584,줄리앙,커피,59700,8,-881,4,3,4,1
1585,모모닭강정,치킨,26520,17,144,2,3,1,4
1586,찜꽁찜닭,한식,61600,7,-157,1,3,4,1
1587,돈돈정,일식,157000,6,1291,1,3,1,5
1588,"오직,",제과제빵,55450,6,-321,1,3,5,1
1589,불오뎅,분식,42150,11,59,5,3,3,3
1590,도노텀블,커피,66270,8,502,3,3,2,5
1591,더짝,기타 외식,135870,12,-3451,2,3,1,1
1592,몽실이비어,주점,43450,10,171,4,3,1,4
1593,보나베띠,서양식,255565,18,-272,3,3,1,1
1594,홍팬의,한식,96830,8,66,5,3,0,3
1595,사람사는고깃집김일도,한식,134525,10,304,1,3,2,4
1596,바람의핫도그,패스트푸드,107500,7,2638,3,3,3,5
1597,뜨돈(DD'DON),서양식,115200,10,1000,5,3,5,5
1598,대만샌드위치,기타 외식,57300,9,-383,1,3,2,1
1599,새벽회,일식,78150,3,579,2,3,0,5
1600,바람의핫도그,패스트푸드,107500,7,2638,3,3,3,5
1601,통큰낙지,한식,176000,12,14,5,3,2,2
1602,우림칼국수,분식,30820,8,10,5,3,4,2
1603,아그라,기타 외식,234300,6,170,4,3,5,4
1604,줄리앙,커피,59700,8,-881,4,3,4,1
1605,오늘도찜닭&삼겹&파스타,한식,35750,5,15895,5,3,4,5
1606,신의주부대찌개,한식,95170,22,96,5,3,5,3
1607,오슬로우(OHSLOW),커피,68450,5,-1343,2,3,5,1
1608,돈돈정,일식,157000,6,1291,1,3,1,5
1609,모모닭강정,치킨,26520,17,144,2,3,1,4
1610,콩시루,한식,75800,7,69,5,3,3,3
1611,도노텀블,커피,66270,8,502,3,3,2,5
1612,두레옛날통닭,치킨,40400,4,-160,1,3,4,1
1613,다가올레,치킨,24365,12,93,3,3,1,3
1614,소소한일상의별난주점,주점,43800,8,4400,2,3,3,5
1615,아자부,기타 외식,282000,6,235,4,3,4,4
1616,뜨돈(DD'DON),서양식,115200,10,1000,5,3,5,5
1617,더짝,기타 외식,135870,12,-3451,2,3,1,1
1618,블랙퀸의,치킨,55900,17,161,5,3,5,4
1619,즉석국물떡볶이,분식,48530,5,11,5,3,5,2
1620,신야텐야,일식,173700,6,-162,3,3,3,1
1621,우성돈까스,일식,72500,2,181,3,3,1,4
1622,다담뜰,한식,498400,6,-258,1,3,1,1
1623,맛들의축제,한식,72200,9,4,1,3,1,2
1624,더맛있는족발보쌈,한식,93630,5,65,5,3,1,3
1625,불오뎅,분식,42150,11,59,5,3,3,3
1626,홍팬의,한식,96830,8,66,5,3,0,3
1627,박군자진주냉면,한식,27000,10,38,4,3,3,2
1628,셀프프리카페,한식,159000,11,189,3,3,1,4
1629,쏘자,기타 외식,28300,14,10,3,3,1,2
1630,바울아저씨,분식,92220,9,7,1,3,1,2
1631,프랑스에다녀온붕어빵,제과제빵,178300,9,103,2,3,2,3
1632,제주,한식,121600,17,79,3,3,4,3
1633,심청아배고파,기타 외식,59400,17,35,4,3,3,2
1634,노가리까는언니,주점,58200,6,-178,1,3,1,1
1635,두껍삼,기타 외식,84300,11,362,5,3,2,5
1636,장인족발608,한식,73480,9,20,4,3,2,2
1637,스모킹카페(Smoking,커피,106700,7,-715,5,3,5,1
1638,홍그리,분식,31900,9,-529,1,3,4,1
1639,남매황제해물문어보쌈,한식,239850,8,13,5,3,0,2
1640,아우어베이커리(OUR,제과제빵,781474,7,124,5,3,4,3
1641,북문당,제과제빵,62290,4,869,4,3,5,5
1642,하와이새우트럭,기타 외국식,136600,6,120,2,3,2,3
1643,김삿갓통닭,치킨,47550,5,-875,4,3,4,1
1644,마라루,중식,67750,4,3212,3,3,5,5
1645,카페더스노우,기타 외식,43800,11,67,4,3,4,3
1646,온채당,한식,196950,8,479,3,3,2,5
1647,주인의주방,일식,65150,8,302,3,3,2,4
1648,생극해장국,한식,92500,10,327,3,3,2,4
1649,몰리제피자,피자,47430,11,36,2,3,2,2
1650,만뽀,일식,143000,6,-250,2,3,3,1
1651,스모킹카페(Smoking,커피,106700,7,-715,5,3,5,1
1652,탄광맥주,주점,84170,7,435,4,3,5,5
1653,하와이새우트럭,기타 외국식,136600,6,120,2,3,2,3
1654,프랑스에다녀온붕어빵,제과제빵,178300,9,103,2,3,2,3
1655,일일향,중식,297600,4,-280,1,3,5,1
1656,노가리까는언니,주점,58200,6,-178,1,3,1,1
1657,바울아저씨,분식,92220,9,7,1,3,1,2
1658,장인족발608,한식,73480,9,20,4,3,2,2
1659,생극해장국,한식,92500,10,327,3,3,2,4
1660,정도너츠,제과제빵,144650,15,113,3,3,3,3
1661,샤브정,기타 외식,66250,11,200,3,3,2,4
1662,어부김호권의청년어부,일식,65940,4,310,4,3,4,4
1663,온채당,한식,196950,8,479,3,3,2,5
1664,정직한통닭,치킨,60575,14,794,3,3,2,5
1665,남매황제해물문어보쌈,한식,239850,8,13,5,3,0,2
1666,주모리,기타 외식,99350,10,-281,1,3,3,1
1667,제주,한식,121600,17,79,3,3,4,3
1668,보배반점,중식,132605,3,694,4,3,0,5
1669,심청아배고파,기타 외식,59400,17,35,4,3,3,2
1670,정다함,서양식,45264,7,148,1,3,4,4
1671,냅다청양집,한식,60700,3,301,4,3,0,4
1672,박용석스시,일식,14670,8,110,4,3,5,3
1673,이선생짜글이,한식,72400,14,4,5,3,4,2
1674,카페더스노우,기타 외식,43800,11,67,4,3,4,3
1675,주인의주방,일식,65150,8,302,3,3,2,4
1676,카페파머스,커피,196150,11,-244,1,3,2,1
1677,김치도가,한식,88735,5,-2214,2,3,2,1
1678,무한삼겹시대,한식,106700,7,90,3,3,4,3
1679,모리셔스브라운(Mauritius,음료 (커피 외),61600,5,2752,3,3,1,5
1680,Blu,커피,99550,4,-515,2,3,0,1
1681,채상궁,한식,153000,17,131,3,3,2,4
1682,댓짱돈까스,한식,175060,6,197,5,3,3,4
1683,이자카야,일식,74500,5,80,4,3,2,3
1684,진원,한식,169500,3,48,1,3,0,2
1685,괴짜쉐프파스타,서양식,66550,4,337,4,3,5,4
1686,셀프프리카페,한식,159000,11,189,3,3,1,4
1687,몰리제피자,피자,47430,11,36,2,3,2,2
1688,쿡플,일식,43851,10,515,3,3,1,5
1689,맷돌로만,한식,137750,11,80,1,3,2,3
1690,역전국밥,한식,83400,5,107,4,3,3,3
1691,소문난왕만두찐빵,분식,25100,17,822,3,3,3,5
1692,삼삼이네,한식,70540,19,107,5,3,2,3
1693,승도리네,한식,72200,3,132,1,3,0,3
1694,로타리치킨상회,치킨,57980,6,-132,1,3,5,1
1695,육봉달,기타 외식,105650,11,20,3,3,2,2
1696,바담,한식,152319,6,-1180,1,3,5,1
1697,9cafe,커피,80900,7,-972,2,3,2,1
1698,엠제이,한식,389340,10,118,5,3,1,3
1699,닭광정,치킨,67900,4,-495,1,3,5,1
1700,동의명가,한식,74600,5,-235,1,3,4,1
1701,카페파머스,커피,196150,11,-244,1,3,2,1
1702,철판떼기,한식,10700,4,1313,2,3,5,5
1703,9cafe,커피,80900,7,-972,2,3,2,1
1704,주인의주방,일식,65150,8,302,3,3,2,4
1705,쿡플,일식,43851,10,515,3,3,1,5
1706,쏘자,기타 외식,28300,14,10,3,3,1,2
1707,은행먹은,한식,27500,4,-1521,4,3,4,1
1708,닭갈비클라쓰,치킨,38200,4,380,4,3,5,5
1709,신동키닭,치킨,50400,4,1540,4,3,4,5
1710,댓짱돈까스,한식,175060,6,197,5,3,3,4
1711,심청아배고파,기타 외식,59400,17,35,4,3,3,2
1712,바담,한식,152319,6,-1180,1,3,5,1
1713,슈퍼사이즈커피,커피,46410,17,-524,2,3,1,1
1714,채상궁,한식,153000,17,131,3,3,2,4
1715,족발3시30분,한식,84928,5,1223,2,3,1,5
1716,고양이부엌,기타 외식,81900,8,778,1,3,2,5
1717,접시고기,한식,67450,4,-315,1,3,5,1
1718,엉뚱한상상,기타 외식,65300,8,465,2,3,2,5
1719,스윗디저트카페루시카토,제과제빵,120390,15,2212,1,3,2,5
1720,낭만옵빠,기타 외식,39850,9,7,5,3,1,2
1721,불돈생돈,한식,56120,17,195,2,3,2,4
1722,원조전통명가,기타 외식,87000,8,40,3,3,1,2
1723,피자캠프,피자,58850,8,276,3,3,3,4
1724,루고,커피,126450,4,217,1,3,3,4
1725,황홀한막창,기타 외식,37650,12,7,5,3,4,2
1726,더:팬(the:PAN),기타 외식,108800,15,306,3,3,2,4
1727,카페아모제,서양식,120975,27,136,2,3,2,4
1728,도쿄팡야,제과제빵,221750,11,203,3,3,1,4
1729,장인닭갈비,기타 외식,97940,8,39,5,3,5,2
1730,리치망고,음료 (커피 외),113900,9,279,2,3,1,5
1731,죤슨앤바오,기타 외식,28600,5,253,3,3,4,4
1732,하트츄(HEART,기타 외국식,44600,9,61,5,3,4,3
1733,떡볶당,분식,50840,10,23,2,3,3,2
1734,배가네동태탕찜전문점,기타 외식,67200,7,5,5,3,3,2
1735,커스텀커피,커피,87020,4,-1046,2,3,5,1
1736,포타이,기타 외국식,96800,24,295,2,3,2,4
1737,김영화부대찌개,한식,104200,14,33,5,3,3,2
1738,제주도그릴,기타 외식,80020,4,61,5,3,5,3
1739,진국본가,한식,119300,4,82,4,3,5,3
1740,chefdog,기타 외국식,83400,8,-199,1,3,1,1
1741,안동한우곱창,기타 외식,85600,9,297,3,3,2,4
1742,삼촌치킨,치킨,65500,9,2,5,3,5,2
1743,버즈커피,커피,61850,17,311,2,3,2,4
1744,본우리반상,한식,135147,19,396,3,3,3,5
1745,뿔난황소곱창,한식,67200,5,533,1,3,1,5
1746,836숯불바베큐치킨,치킨,35660,6,57,2,3,1,3
1747,메이드인짬뽕,중식,79120,9,-233,5,3,5,1
1748,크라제버거,패스트푸드,401700,23,328,1,3,1,5
1749,하이미트,한식,230350,18,113,3,3,1,3
1750,루고,커피,126450,4,217,1,3,3,4
1751,뿔난황소곱창,한식,67200,5,533,1,3,1,5
1752,카페아모제,서양식,120975,27,136,2,3,2,4
1753,하트츄(HEART,기타 외국식,44600,9,61,5,3,4,3
1754,제주도그릴,기타 외식,80020,4,61,5,3,5,3
1755,장미막창,기타 외식,91650,8,29,5,3,3,2
1756,인생해장국,한식,86110,7,229,3,3,2,4
1757,창화당,기타 외식,114640,5,109,4,3,4,3
1758,하겐다즈,아이스크림/빙수,343880,32,262,3,3,3,4
1759,836숯불바베큐치킨,치킨,35660,6,57,2,3,1,3
1760,불돈생돈,한식,56120,17,195,2,3,2,4
1761,한옥집김치찜,한식,164000,9,5627,2,3,3,5
1762,통큰삼겹,기타 외식,24500,7,117,4,3,4,3
1763,일품해운대봉가떡볶이,분식,36640,3,-259,1,3,0,1
1764,본우리반상,한식,135147,19,396,3,3,3,5
1765,제주석갈비,기타 외식,71720,6,-131,1,3,0,1
1766,삼촌치킨,치킨,65500,9,2,5,3,5,2
1767,국물떡볶이,분식,52160,3,-220,1,3,0,1
1768,우아한,주점,59970,4,-146,1,3,5,1
1769,육값어치,한식,65700,4,4,5,3,5,2
1770,안동한우곱창,기타 외식,85600,9,297,3,3,2,4
1771,메이드인짬뽕,중식,79120,9,-233,5,3,5,1
1772,와치킨,치킨,43120,4,-118,1,3,1,1
1773,일품장수미역,한식,139680,9,-2855,3,3,4,1
1774,아자부,제과제빵,292600,13,-5332,2,2,1,1
1775,포타이,기타 외국식,96800,24,295,2,3,2,4
1776,홍대앞맥주집,주점,61400,10,28,2,3,1,2
1777,부송국수,분식,100800,8,4,5,3,3,2
1778,닐리스(Nilli's),서양식,195740,18,191,2,3,4,4
1779,정광석,한식,139700,13,9,4,3,4,2
1780,하이미트,한식,230350,18,113,3,3,1,3
1781,범산목장,아이스크림/빙수,99300,16,267,4,3,4,4
1782,부산어묵,분식,103100,27,100,3,3,4,3
1783,파이널나인,기타 외식,74360,3,-2389,2,3,4,1
1784,비어101,주점,67870,9,91,1,3,0,3
1785,바담코다리네,한식,152319,3,17,5,3,0,2
1786,버즈커피,커피,61850,17,311,2,3,2,4
1787,삼청동멸치국수,한식,54800,6,-139,2,3,2,1
1788,코다차야,한식,372480,10,151,2,3,1,4
1789,크라제버거,패스트푸드,401700,23,328,1,3,1,5
1790,신가네정읍국밥,한식,199898,6,276,3,3,4,4
1791,미친고기,기타 외식,107530,7,0,4,3,2,2
1792,구찌부찌,한식,42050,6,-116,1,3,4,1
1793,푸다기,기타 외식,95000,13,-238,4,3,2,1
1794,OK포차,주점,90750,12,84,4,3,2,3
1795,장병숙,기타 외식,75413,9,-110,1,3,5,1
1796,사위식당,한식,107850,5,451,5,3,5,5
1797,달떡볶이,분식,42150,7,319,3,3,1,5
1798,모스버거(MOSBURGER),패스트푸드,158212,12,125,1,3,2,3
1799,본앤본,기타 외식,54800,9,151,2,3,5,4
1800,삼촌치킨,치킨,65500,9,2,5,3,5,2
1801,부산어묵,분식,103100,27,100,3,3,4,3
1802,카페아모제,서양식,120975,27,136,2,3,2,4
1803,안동한우곱창,기타 외식,85600,9,297,3,3,2,4
1804,구찌부찌,한식,42050,6,-116,1,3,4,1
1805,사위식당,한식,107850,5,451,5,3,5,5
1806,삼청동멸치국수,한식,54800,6,-139,2,3,2,1
1807,모스버거(MOSBURGER),패스트푸드,158212,12,125,1,3,2,3
1808,더도이축산직영점,한식,117400,8,15,4,3,5,2
1809,제주둘레국수,한식,69750,4,169,3,3,5,4
1810,홍대앞맥주집,주점,61400,10,28,2,3,1,2
1811,닐리스(Nilli's),서양식,195740,18,191,2,3,4,4
1812,불돈생돈,한식,56120,17,195,2,3,2,4
1813,범산목장,아이스크림/빙수,99300,16,267,4,3,4,4
1814,커피마마퀸,커피,67200,13,416,2,3,3,5
1815,신가네정읍국밥,한식,199898,6,276,3,3,4,4
1816,미친고기,기타 외식,107530,7,0,4,3,2,2
1817,OK포차,주점,90750,12,84,4,3,2,3
1818,버즈커피,커피,61850,17,311,2,3,2,4
1819,비어101,주점,67870,9,91,1,3,0,3
1820,메이드인짬뽕,중식,79120,9,-233,5,3,5,1
1821,베스트네스트,주점,108800,20,208,2,3,1,4
1822,연어시대,기타 외식,90200,8,167,3,3,5,4
1823,찌개엔,한식,40050,3,359,2,3,0,5
1824,어바웃샤브,기타 외식,81200,15,460,2,3,1,5
1825,플레어비,커피,194200,4,658,3,3,5,5
1826,청불,주점,117475,7,214,2,3,1,4
1827,마시찜(MASIZZIM),한식,110000,11,129,3,3,2,4
1828,웰덤대게고로케,기타 외식,15800,10,283,3,3,4,4
1829,이화우,한식,185480,9,18,5,3,4,2
1830,카페세나클,커피,127400,11,44707,2,3,4,5
1831,꽁돈,한식,54800,17,185,2,3,1,4
1832,오리지널시카고,피자,227700,9,53,1,3,1,3
1833,대한맥주집,치킨,88000,6,-111,1,3,2,1
1834,반월당고로케,제과제빵,61500,10,-191,1,3,1,1
1835,메밀골동해막국수,한식,132800,15,206,4,3,4,4
1836,카페샌앤토,패스트푸드,68330,15,344,2,3,3,5
1837,유생촌,기타 외국식,385300,9,27,2,3,5,2
1838,오이시함바그,일식,149750,10,-1104,1,3,1,1
1839,축제갈비,한식,173100,14,149,3,3,4,4
1840,3대서가밀면,한식,127400,14,140,5,3,1,4
1841,스노우볼,아이스크림/빙수,76000,13,73,4,3,1,3
1842,비행접시버거,패스트푸드,139480,4,-184,1,3,5,1
1843,넙딱집,한식,55350,4,61,5,3,5,3
1844,효소원,한식,77250,14,-170,1,3,2,1
1845,토토로의숲힐링카페,커피,148800,11,467,3,3,4,5
1846,양꽃이피는밤,기타 외국식,109150,11,24,4,3,2,2
1847,수정자갈치꼼장어,한식,39500,12,1,4,3,2,2
1848,천냥포차,주점,63840,9,137,3,3,5,3
1849,10번가고기집&쉐프의부대찌개,기타 외식,118500,8,-376,1,3,4,1
1850,브라운치킨,치킨,59180,9,18,4,3,5,2
1851,10번가고기집&쉐프의부대찌개,기타 외식,118500,8,-376,1,3,4,1
1852,버거스테이지,기타 외식,50188,4,374,5,3,5,5
1853,야끼텐,기타 외식,121160,32,212,3,3,3,4
1854,후레쉬팩토리,기타 외식,38300,5,64,1,3,1,3
1855,삼환축산,한식,109200,4,1516,4,3,5,5
1856,브루웍스,주점,93190,7,133,3,3,1,3
1857,할리비어,주점,59000,13,-282,1,3,4,1
1858,양꽃이피는밤,기타 외국식,109150,11,24,4,3,2,2
1859,에디슨치킨,치킨,30826,20,262,3,3,3,4
1860,메밀골동해막국수,한식,132800,15,206,4,3,4,4
1861,미씽유,주점,93850,5,108,4,3,1,3
1862,오리지널시카고,피자,227700,9,53,1,3,1,3
1863,카페샌앤토,패스트푸드,68330,15,344,2,3,3,5
1864,쿠카쿠,커피,105100,3,37,2,3,0,2
1865,오늘애김밥(오늘愛김밥),분식,64600,6,60,5,3,4,3
1866,이땔리방앗간,분식,36860,7,-674,1,3,4,1
1867,베스트네스트,주점,108800,20,208,2,3,1,4
1868,카페세나클,커피,127400,11,44707,2,3,4,5
1869,효소원,한식,77250,14,-170,1,3,2,1
1870,반월당고로케,제과제빵,61500,10,-191,1,3,1,1
1871,카페라리(Cafe,제과제빵,213600,27,24,2,3,3,2
1872,삼겹랜드,한식,119800,18,113,3,3,1,3
1873,hcs,분식,95260,3,157,5,3,0,4
1874,큐큐면관,중식,102650,6,-215,1,3,3,1
1875,마시찜(MASIZZIM),한식,110000,11,129,3,3,2,4
1876,포,기타 외국식,16550,7,192,3,3,4,4
1877,스노우볼,아이스크림/빙수,76000,13,73,4,3,1,3
1878,어바웃샤브,기타 외식,81200,15,460,2,3,1,5
1879,유생촌,기타 외국식,385300,9,27,2,3,5,2
1880,떡가게,한식,108450,6,-714,1,3,3,1
1881,땡큐꼬마김밥,분식,41600,7,4358,1,3,5,5
1882,토토로의숲힐링카페,커피,148800,11,467,3,3,4,5
1883,해방곱창,한식,75850,5,27,5,3,3,2
1884,삼겹구이,한식,26680,12,459,1,3,2,5
1885,3대서가밀면,한식,127400,14,140,5,3,1,4
1886,삼오칠싸롱,주점,93500,11,58,2,3,1,3
1887,오슬로(o'slo),아이스크림/빙수,131731,28,209,2,3,3,4
1888,천냥포차,주점,63840,9,137,3,3,5,3
1889,호토모토(HottoMotto),기타 외식,56890,11,52,1,3,1,2
1890,꽁돈,한식,54800,17,185,2,3,1,4
1891,징차이짜장,중식,120250,8,465,2,3,2,5
1892,수정자갈치꼼장어,한식,39500,12,1,4,3,2,2
1893,1987루프탑&라운지,서양식,225000,7,75,5,3,3,3
1894,선릉역매운떡볶이,분식,63160,5,65,3,3,2,3
1895,반궁,한식,144312,4,217,1,3,3,4
1896,타르트팜,제과제빵,59000,10,163,4,3,2,4
1897,오이시함바그,일식,149750,10,-1104,1,3,1,1
1898,맥주활력수,주점,69900,5,1265,2,3,2,5
1899,쿠마키친(KUMA,일식,99281,5,431,4,3,5,5
1900,덮다,한식,42700,4,58,5,3,5,3
1901,오리지널시카고,피자,227700,9,53,1,3,1,3
1902,마시찜(MASIZZIM),한식,110000,11,129,3,3,2,4
1903,삼오칠싸롱,주점,93500,11,58,2,3,1,3
1904,오늘애김밥(오늘愛김밥),분식,64600,6,60,5,3,4,3
1905,카페세나클,커피,127400,11,44707,2,3,4,5
1906,호토모토(HottoMotto),기타 외식,56890,11,52,1,3,1,2
1907,유생촌,기타 외국식,385300,9,27,2,3,5,2
1908,오이시함바그,일식,149750,10,-1104,1,3,1,1
1909,한올면옥,한식,187550,6,6,4,3,2,2
1910,훈민정음,주점,119218,4,175,4,3,5,4
1911,일호감자탕,한식,90510,8,38,3,3,4,2
1912,메밀골동해막국수,한식,132800,15,206,4,3,4,4
1913,어바웃샤브,기타 외식,81200,15,460,2,3,1,5
1914,가마실감자탕,한식,85600,6,246,4,3,4,4
1915,오슬로(o'slo),아이스크림/빙수,131731,28,209,2,3,3,4
1916,천냥포차,주점,63840,9,137,3,3,5,3
1917,1987루프탑&라운지,서양식,225000,7,75,5,3,3,3
1918,3대서가밀면,한식,127400,14,140,5,3,1,4
1919,반월당고로케,제과제빵,61500,10,-191,1,3,1,1
1920,간식창고,아이스크림/빙수,14850,3,285,2,3,0,4
1921,토토로의숲힐링카페,커피,148800,11,467,3,3,4,5
1922,진미면막국수,분식,62400,13,33,5,3,3,2
1923,베스트네스트,주점,108800,20,208,2,3,1,4
1924,"안녕,",한식,78700,5,1,5,3,5,2
1925,식빵이맛있는집,제과제빵,86050,9,427,3,3,2,5
1926,스노우볼,아이스크림/빙수,76000,13,73,4,3,1,3
1927,황제잠수함인,기타 외식,158500,8,138,3,3,3,4
1928,갈비애드림,한식,89920,7,81,5,3,1,3
1929,효소원,한식,77250,14,-170,1,3,2,1
1930,수정자갈치꼼장어,한식,39500,12,1,4,3,2,2
1931,범천집목구이,한식,55525,8,-360,1,3,1,1
1932,타르트팜,제과제빵,59000,10,163,4,3,2,4
1933,동의명가,한식,50400,5,-235,1,3,4,1
1934,더소야소,한식,101000,9,9,5,3,2,2
1935,일품양평해장국,한식,59200,9,-322,1,3,5,1
1936,마이고기,한식,66250,11,200,3,3,2,4
1937,수유다래함박스텍,기타 외식,46100,5,-134,2,3,1,1
1938,꽁돈,한식,54800,17,185,2,3,1,4
1939,전총무가쏜다,한식,94400,9,85,4,3,5,3
1940,청연,일식,45100,4,1265,5,3,5,5
1941,cafe65℃,커피,58420,9,-441,3,3,2,1
1942,카페코나퀸즈,커피,205800,10,-275,1,3,2,1
1943,삼훈국민생아구찜,한식,144650,6,220,4,3,3,4
1944,월간피자,피자,56100,7,458,1,3,4,5
1945,오과장대패&샐러드바,한식,66000,6,6,5,3,1,2
1946,네꼬야(nekoya),커피,130700,18,24,4,3,3,2
1947,필스너하우스(PILSNER,주점,127050,8,10,1,3,1,2
1948,똥꼬치킨,치킨,65880,4,-241,1,3,5,1
1949,괸당집,한식,61360,4,15548,3,3,0,5
1950,153구포국수,한식,61200,4,-3020,3,3,5,1
1951,두만이통닭,치킨,34760,8,288,3,3,5,4
1952,샐러드박스(SaladBox),기타 외식,54450,9,-284,1,3,4,1
1953,커피랑도서관,커피,168800,8,194,4,3,0,4
1954,마더쥬스,음료 (커피 외),83375,10,3272,5,3,5,5
1955,불티매운족발,한식,28930,10,899,2,3,3,5
1956,본세이로무시,한식,105760,4,1571,2,3,5,5
1957,농장사람들,기타 외식,222400,6,57,2,3,2,3
1958,투마리치킨,치킨,37695,13,166,2,3,1,4
1959,스미스미트,기타 외식,95150,8,365,3,3,0,5
1960,덕뽀리,한식,42600,15,86,4,3,1,3
1961,미스터스시,일식,166300,9,-383,1,3,2,1
1962,라드커피(LAD,커피,237450,9,-164,4,3,1,1
1963,카페도헤이왕의커피,커피,46700,11,-284,4,3,2,1
1964,스시메이진,일식,808600,8,-133,2,3,1,1
1965,숯겹살집,한식,87000,6,148,1,3,1,4
1966,국물두루치기,한식,105100,9,222,3,3,0,4
1967,위찜,기타 외식,117600,3,1235,2,3,1,5
1968,한국순대,한식,69900,5,88,4,3,2,3
1969,심야오뎅,일식,52390,6,254,2,3,1,4
1970,오오뎅뎅,주점,47310,15,659,2,3,1,5
